# MAPTEXT v1
# Mansion + Strategic（2500x2500）
# - 中心：对称“复杂豪宅”（单一 roomgroup，保证外部入口）
# - 外围：Strategic 风格（8个资源点箱群 + 4个主路节点箱群 + 大量草丛 + 少量水域 + 少量视线切割墙）
# - 注意：撤离区不覆盖任何 obstacle；所有 obstacle 之间不重叠

@meta id=mansion_strategic_v1_2p5k name="Mansion Strategic (2.5K) - Clean+" desc="2500x2500：中心对称豪宅(每房间1个宝箱/箱子，中心更好) + 外围战略资源布局(箱群/草丛/水域/少量视线切割墙)。含小概率 LEGENDARY。"
@map width=2500 height=2500 seed=20260109

# === 撤离点：地图中心 + 上下两侧（不与任何 obstacle 重叠）===
@extract x=1210 y=1210 w=80 h=80
@extract x=1210 y=480 w=80 h=80
@extract x=1210 y=2140 w=80 h=80
# 上下两侧机枪手AI旁边的撤离点（避开房屋，豪宅范围600-1960, 720-1840）
@extract x=1100 y=560 w=80 h=80
@extract x=1380 y=560 w=80 h=80
@extract x=1100 y=1860 w=80 h=80
@extract x=1380 y=1860 w=80 h=80

# === 出生点（四角内缩）===
@spawn x=260 y=260
@spawn x=2240 y=260
@spawn x=260 y=2240
@spawn x=2240 y=2240

# === POI（中心 + 8个外围资源点）===
@poi x=1250 y=1250 id=center_mansion type=landmark name="Center Mansion" desc="中央豪宅：关键房有宝箱与守卫"
@poi x=450  y=450   id=nw_resource type=resource name="Northwest Resource" desc="西北资源点（箱群）"
@poi x=2050 y=450   id=ne_resource type=resource name="Northeast Resource" desc="东北资源点（箱群）"
@poi x=450  y=2050  id=sw_resource type=resource name="Southwest Resource" desc="西南资源点（箱群）"
@poi x=2050 y=2050  id=se_resource type=resource name="Southeast Resource" desc="东南资源点（箱群）"
@poi x=1250 y=450   id=north_resource type=resource name="North Resource" desc="北部资源点（箱群）"
@poi x=1250 y=2050  id=south_resource type=resource name="South Resource" desc="南部资源点（箱群）"
@poi x=450  y=1250  id=west_resource  type=resource name="West Resource"  desc="西部资源点（箱群）"
@poi x=2050 y=1250  id=east_resource  type=resource name="East Resource"  desc="东部资源点（箱群）"

# === 区域（用于刷新/强度分层）===
@zone x=620 y=740 w=1260 h=920 id=center_mansion_zone type=danger name="Center Mansion Zone" desc="中央高危险区：豪宅与周边"
# 最中心房间区域（grand_hall, gallery, vault_s, balcony_n）
# 第3列(index=2)的房间内部区域，避开墙壁：x=1120+20=1140, 宽度=260-40=220
# 4行房间，每行高240，内部高度=240-40=200，总高度约800（留出墙壁空间）
@zone x=1140 y=760 w=220 h=880 id=center_core_rooms type=danger name="Center Core Rooms" desc="最中心房间：可能刷新传说物品"
@zone x=0 y=0 w=1250 h=1250 id=northwest_zone type=loot name="Northwest Zone" desc="西北资源区"
@zone x=1250 y=0 w=1250 h=1250 id=northeast_zone type=loot name="Northeast Zone" desc="东北资源区"
@zone x=0 y=1250 w=1250 h=1250 id=southwest_zone type=loot name="Southwest Zone" desc="西南资源区"
@zone x=1250 y=1250 w=1250 h=1250 id=southeast_zone type=loot name="Southeast Zone" desc="东南资源区"

# ============================================================
# 中央豪宅（单一 roomgroup）
# - 外围房间：wood / concrete（更“居住/仓储”）
# - 中心走廊/侧厅：pave（过渡）
# - 中心大厅/金库：tile（显眼、价值感更强）
# ============================================================

@roomgroup layout=grid x=600 y=720 cols=5 cellW=260 cellH=240 wallThickness=20 doorWidth=120 id=mansion_main
  suite_w:     w=260 h=240 doors=sew  floor=wood
  closet_w:    w=260 h=240 doors=sew  floor=wood
  balcony_n:   w=260 h=240 doors=nsew floor=tile
  closet_e:    w=260 h=240 doors=sew  floor=wood
  suite_e:     w=260 h=240 doors=sew  floor=wood

  library_w:   w=260 h=240 doors=nsew floor=wood
  corridor_w:  w=260 h=240 doors=nsew floor=pave
  gallery:     w=260 h=240 doors=nsew floor=tile
  corridor_e:  w=260 h=240 doors=nsew floor=pave
  library_e:   w=260 h=240 doors=nsew floor=wood

  kitchen_w:   w=260 h=240 doors=nsew floor=tile
  sidehall_w:  w=260 h=240 doors=nsew floor=pave
  grand_hall:  w=260 h=240 doors=nsew floor=tile
  sidehall_e:  w=260 h=240 doors=nsew floor=pave
  kitchen_e:   w=260 h=240 doors=nsew floor=tile

  armory_w:    w=260 h=240 doors=nsew floor=concrete
  storage_w:   w=260 h=240 doors=nsew floor=concrete
  vault_s:     w=260 h=240 doors=nsew floor=tile
  storage_e:   w=260 h=240 doors=nsew floor=concrete
  armory_e:    w=260 h=240 doors=nsew floor=concrete

# ============================================================
# 豪宅：每个房间 1 个不同宝箱/箱子
# 放置规则：每个格子左上角 +120,+120（远离门/墙），不会压撤离区
# - 越靠中心：更多 chest_closed + 更好的 chestRarityWeights
# ============================================================

# Row0 y=720 -> chest y=840（增加房区内资源密度）
@obstacle x=1500 y=1840 w=14 h=200 type=wall
@obstacle x=1700 y=1840 w=14 h=200 type=wall

# === 箱子群：8个资源点（全部成群堆放）===
# 西北资源点（4x3 + 2尾箱，增加外围资源密度）
@obstacle x=380 y=380 w=30 h=30 type=crate
@obstacle x=414 y=380 w=30 h=30 type=crate
@obstacle x=448 y=380 w=30 h=30 type=crate
@obstacle x=482 y=380 w=30 h=30 type=crate
@obstacle x=380 y=414 w=30 h=30 type=crate
@obstacle x=414 y=414 w=30 h=30 type=crate
@obstacle x=448 y=414 w=30 h=30 type=crate
@obstacle x=482 y=414 w=30 h=30 type=crate
@obstacle x=380 y=448 w=30 h=30 type=crate
@obstacle x=414 y=448 w=30 h=30 type=crate
@obstacle x=448 y=448 w=30 h=30 type=crate
@obstacle x=482 y=448 w=30 h=30 type=crate
@obstacle x=431 y=482 w=30 h=30 type=crate
@obstacle x=465 y=482 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=340 y=340 w=30 h=30 type=weapon_crate
@obstacle x=516 y=340 w=30 h=30 type=medical_crate
@obstacle x=340 y=414 w=30 h=30 type=equipment_crate
@obstacle x=516 y=414 w=30 h=30 type=throwable_crate
@obstacle x=340 y=448 w=30 h=30 type=weapon_crate
@obstacle x=516 y=448 w=30 h=30 type=medical_crate

# 东北资源点（增加外围资源密度）
@obstacle x=2020 y=380 w=30 h=30 type=crate
@obstacle x=2054 y=380 w=30 h=30 type=crate
@obstacle x=2088 y=380 w=30 h=30 type=crate
@obstacle x=2122 y=380 w=30 h=30 type=crate
@obstacle x=2020 y=414 w=30 h=30 type=crate
@obstacle x=2054 y=414 w=30 h=30 type=crate
@obstacle x=2088 y=414 w=30 h=30 type=crate
@obstacle x=2122 y=414 w=30 h=30 type=crate
@obstacle x=2020 y=448 w=30 h=30 type=crate
@obstacle x=2054 y=448 w=30 h=30 type=crate
@obstacle x=2088 y=448 w=30 h=30 type=crate
@obstacle x=2122 y=448 w=30 h=30 type=crate
@obstacle x=2071 y=482 w=30 h=30 type=crate
@obstacle x=2105 y=482 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=2156 y=340 w=30 h=30 type=weapon_crate
@obstacle x=1980 y=340 w=30 h=30 type=equipment_crate
@obstacle x=2156 y=414 w=30 h=30 type=medical_crate
@obstacle x=1980 y=414 w=30 h=30 type=throwable_crate
@obstacle x=2156 y=448 w=30 h=30 type=weapon_crate
@obstacle x=1980 y=448 w=30 h=30 type=equipment_crate

# 西南资源点（向右移动避开水域，增加外围资源密度）
@obstacle x=280 y=1980 w=30 h=30 type=crate
@obstacle x=314 y=1980 w=30 h=30 type=crate
@obstacle x=348 y=1980 w=30 h=30 type=crate
@obstacle x=382 y=1980 w=30 h=30 type=crate
@obstacle x=280 y=2014 w=30 h=30 type=crate
@obstacle x=314 y=2014 w=30 h=30 type=crate
@obstacle x=348 y=2014 w=30 h=30 type=crate
@obstacle x=382 y=2014 w=30 h=30 type=crate
@obstacle x=280 y=2048 w=30 h=30 type=crate
@obstacle x=314 y=2048 w=30 h=30 type=crate
@obstacle x=348 y=2048 w=30 h=30 type=crate
@obstacle x=382 y=2048 w=30 h=30 type=crate
@obstacle x=331 y=2082 w=30 h=30 type=crate
@obstacle x=365 y=2082 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=240 y=1940 w=30 h=30 type=weapon_crate
@obstacle x=416 y=1940 w=30 h=30 type=medical_crate
@obstacle x=240 y=2014 w=30 h=30 type=equipment_crate
@obstacle x=416 y=2014 w=30 h=30 type=throwable_crate
@obstacle x=240 y=2048 w=30 h=30 type=weapon_crate
@obstacle x=416 y=2048 w=30 h=30 type=medical_crate

# 东南资源点（增加外围资源密度）
@obstacle x=2020 y=1980 w=30 h=30 type=crate
@obstacle x=2054 y=1980 w=30 h=30 type=crate
@obstacle x=2088 y=1980 w=30 h=30 type=crate
@obstacle x=2122 y=1980 w=30 h=30 type=crate
@obstacle x=2020 y=2014 w=30 h=30 type=crate
@obstacle x=2054 y=2014 w=30 h=30 type=crate
@obstacle x=2088 y=2014 w=30 h=30 type=crate
@obstacle x=2122 y=2014 w=30 h=30 type=crate
@obstacle x=2020 y=2048 w=30 h=30 type=crate
@obstacle x=2054 y=2048 w=30 h=30 type=crate
@obstacle x=2088 y=2048 w=30 h=30 type=crate
@obstacle x=2122 y=2048 w=30 h=30 type=crate
@obstacle x=2071 y=2082 w=30 h=30 type=crate
@obstacle x=2105 y=2082 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=1980 y=1940 w=30 h=30 type=weapon_crate
@obstacle x=2156 y=1940 w=30 h=30 type=equipment_crate
@obstacle x=1980 y=2014 w=30 h=30 type=medical_crate
@obstacle x=2156 y=2014 w=30 h=30 type=throwable_crate
@obstacle x=1980 y=2048 w=30 h=30 type=weapon_crate
@obstacle x=2156 y=2048 w=30 h=30 type=equipment_crate

# 北部资源点（6x2，增加外围资源密度）
@obstacle x=1140 y=380 w=30 h=30 type=crate
@obstacle x=1174 y=380 w=30 h=30 type=crate
@obstacle x=1208 y=380 w=30 h=30 type=crate
@obstacle x=1242 y=380 w=30 h=30 type=crate
@obstacle x=1276 y=380 w=30 h=30 type=crate
@obstacle x=1310 y=380 w=30 h=30 type=crate
@obstacle x=1140 y=414 w=30 h=30 type=crate
@obstacle x=1174 y=414 w=30 h=30 type=crate
@obstacle x=1208 y=414 w=30 h=30 type=crate
@obstacle x=1242 y=414 w=30 h=30 type=crate
@obstacle x=1276 y=414 w=30 h=30 type=crate
@obstacle x=1310 y=414 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=1106 y=340 w=30 h=30 type=weapon_crate
@obstacle x=1344 y=340 w=30 h=30 type=medical_crate
@obstacle x=1106 y=380 w=30 h=30 type=equipment_crate
@obstacle x=1344 y=380 w=30 h=30 type=throwable_crate
@obstacle x=1106 y=414 w=30 h=30 type=weapon_crate
@obstacle x=1344 y=414 w=30 h=30 type=medical_crate

# 南部资源点（6x2，增加外围资源密度）
@obstacle x=1140 y=2060 w=30 h=30 type=crate
@obstacle x=1174 y=2060 w=30 h=30 type=crate
@obstacle x=1208 y=2060 w=30 h=30 type=crate
@obstacle x=1242 y=2060 w=30 h=30 type=crate
@obstacle x=1276 y=2060 w=30 h=30 type=crate
@obstacle x=1310 y=2060 w=30 h=30 type=crate
@obstacle x=1140 y=2094 w=30 h=30 type=crate
@obstacle x=1174 y=2094 w=30 h=30 type=crate
@obstacle x=1208 y=2094 w=30 h=30 type=crate
@obstacle x=1242 y=2094 w=30 h=30 type=crate
@obstacle x=1276 y=2094 w=30 h=30 type=crate
@obstacle x=1310 y=2094 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=1106 y=2130 w=30 h=30 type=weapon_crate
@obstacle x=1344 y=2130 w=30 h=30 type=equipment_crate
@obstacle x=1106 y=2060 w=30 h=30 type=medical_crate
@obstacle x=1344 y=2060 w=30 h=30 type=throwable_crate
@obstacle x=1106 y=2094 w=30 h=30 type=weapon_crate
@obstacle x=1344 y=2094 w=30 h=30 type=medical_crate

# 西部资源点（3x4，向上移动避开水域 @ y=1070-1430，增加外围资源密度）
@obstacle x=310 y=1480 w=30 h=30 type=crate
@obstacle x=344 y=1480 w=30 h=30 type=crate
@obstacle x=378 y=1480 w=30 h=30 type=crate
@obstacle x=310 y=1514 w=30 h=30 type=crate
@obstacle x=344 y=1514 w=30 h=30 type=crate
@obstacle x=378 y=1514 w=30 h=30 type=crate
@obstacle x=310 y=1548 w=30 h=30 type=crate
@obstacle x=344 y=1548 w=30 h=30 type=crate
@obstacle x=378 y=1548 w=30 h=30 type=crate
@obstacle x=310 y=1582 w=30 h=30 type=crate
@obstacle x=344 y=1582 w=30 h=30 type=crate
@obstacle x=378 y=1582 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=270 y=1446 w=30 h=30 type=weapon_crate
@obstacle x=270 y=1514 w=30 h=30 type=medical_crate
@obstacle x=270 y=1548 w=30 h=30 type=equipment_crate
@obstacle x=270 y=1616 w=30 h=30 type=throwable_crate
@obstacle x=412 y=1446 w=30 h=30 type=weapon_crate
@obstacle x=412 y=1514 w=30 h=30 type=medical_crate
@obstacle x=412 y=1548 w=30 h=30 type=equipment_crate
@obstacle x=412 y=1616 w=30 h=30 type=throwable_crate

# 东部资源点（3x4，向东移动避开豪宅门口，增加外围资源密度）
@obstacle x=2160 y=1200 w=30 h=30 type=crate
@obstacle x=2194 y=1200 w=30 h=30 type=crate
@obstacle x=2228 y=1200 w=30 h=30 type=crate
@obstacle x=2160 y=1234 w=30 h=30 type=crate
@obstacle x=2194 y=1234 w=30 h=30 type=crate
@obstacle x=2228 y=1234 w=30 h=30 type=crate
@obstacle x=2160 y=1268 w=30 h=30 type=crate
@obstacle x=2194 y=1268 w=30 h=30 type=crate
@obstacle x=2228 y=1268 w=30 h=30 type=crate
@obstacle x=2160 y=1302 w=30 h=30 type=crate
@obstacle x=2194 y=1302 w=30 h=30 type=crate
@obstacle x=2228 y=1302 w=30 h=30 type=crate
# 外围扩展（替换为会掉落物品的箱子类型）
@obstacle x=2262 y=1166 w=30 h=30 type=weapon_crate
@obstacle x=2262 y=1234 w=30 h=30 type=medical_crate
@obstacle x=2262 y=1268 w=30 h=30 type=equipment_crate
@obstacle x=2262 y=1336 w=30 h=30 type=throwable_crate
@obstacle x=2120 y=1166 w=30 h=30 type=weapon_crate
@obstacle x=2120 y=1234 w=30 h=30 type=medical_crate
@obstacle x=2120 y=1268 w=30 h=30 type=equipment_crate
@obstacle x=2120 y=1336 w=30 h=30 type=throwable_crate

# === 主路节点箱群（4群：放在豪宅与资源点之间的开阔地带）===
@obstacle x=1050 y=520 w=30 h=30 type=crate
@obstacle x=1084 y=520 w=30 h=30 type=crate
@obstacle x=1050 y=554 w=30 h=30 type=crate
@obstacle x=1084 y=554 w=30 h=30 type=crate
@obstacle x=1067 y=588 w=30 h=30 type=crate

@obstacle x=1050 y=1940 w=30 h=30 type=crate
@obstacle x=1084 y=1940 w=30 h=30 type=crate
@obstacle x=1050 y=1974 w=30 h=30 type=crate
@obstacle x=1084 y=1974 w=30 h=30 type=crate
@obstacle x=1067 y=2008 w=30 h=30 type=crate

@obstacle x=480 y=1180 w=30 h=30 type=crate
@obstacle x=514 y=1180 w=30 h=30 type=crate
@obstacle x=480 y=1214 w=30 h=30 type=crate
@obstacle x=514 y=1214 w=30 h=30 type=crate
@obstacle x=548 y=1197 w=30 h=30 type=crate

@obstacle x=1940 y=1180 w=30 h=30 type=crate
@obstacle x=1974 y=1180 w=30 h=30 type=crate
@obstacle x=1940 y=1214 w=30 h=30 type=crate
@obstacle x=1974 y=1214 w=30 h=30 type=crate
@obstacle x=2008 y=1197 w=30 h=30 type=crate

# === 地图外边缘资源箱（新增，替换为各种类型的箱子）===
# 上边缘
@obstacle x=100 y=100 w=28 h=28 type=weapon_crate
@obstacle x=500 y=100 w=28 h=28 type=medical_crate
@obstacle x=900 y=100 w=28 h=28 type=equipment_crate
@obstacle x=1600 y=100 w=28 h=28 type=throwable_crate
@obstacle x=2000 y=100 w=28 h=28 type=weapon_crate
@obstacle x=2400 y=100 w=28 h=28 type=equipment_crate
# 下边缘
@obstacle x=100 y=2400 w=28 h=28 type=weapon_crate
@obstacle x=500 y=2400 w=28 h=28 type=medical_crate
@obstacle x=900 y=2400 w=28 h=28 type=equipment_crate
@obstacle x=1600 y=2400 w=28 h=28 type=throwable_crate
@obstacle x=2000 y=2400 w=28 h=28 type=weapon_crate
@obstacle x=2400 y=2400 w=28 h=28 type=equipment_crate
# 左边缘
@obstacle x=100 y=500 w=28 h=28 type=weapon_crate
@obstacle x=100 y=900 w=28 h=28 type=medical_crate
@obstacle x=100 y=1300 w=28 h=28 type=equipment_crate
@obstacle x=100 y=1700 w=28 h=28 type=throwable_crate
@obstacle x=100 y=2100 w=28 h=28 type=weapon_crate
# 右边缘
@obstacle x=2400 y=500 w=28 h=28 type=weapon_crate
@obstacle x=2400 y=900 w=28 h=28 type=medical_crate
@obstacle x=2400 y=1300 w=28 h=28 type=equipment_crate
@obstacle x=2400 y=1700 w=28 h=28 type=throwable_crate
@obstacle x=2400 y=2100 w=28 h=28 type=weapon_crate

# ============================================================
# AI（守卫 + 巡逻）
# ============================================================

# 豪宅内部守卫（关键房间：library_w/e, grand_hall, armory_w/e, vault_s）
# 调整位置避免被门覆盖（房间260x240，门宽120，移到房间中心偏内）
@aispawn x=750  y=1020 type=guard role=basic       count=1 radius=100
@aispawn x=1810 y=1020 type=guard role=basic       count=1 radius=100
@aispawn x=1250 y=1280 type=guard role=heavy_gunner count=1 radius=120
@aispawn x=750  y=1500 type=guard role=basic       count=1 radius=100
@aispawn x=1810 y=1500 type=guard role=basic       count=1 radius=100
@aispawn x=1240 y=1540 type=guard role=heavy_gunner count=1 radius=100

# 豪宅周边守卫
@aispawn x=1250 y=660  type=guard  role=heavy_gunner count=1 radius=180
@aispawn x=1250 y=1900 type=guard  role=heavy_gunner count=1 radius=180
@aispawn x=700  y=1250 type=guard  role=basic       count=1 radius=160
@aispawn x=1800 y=1250 type=guard  role=basic       count=1 radius=160

# 四向巡逻
@aispawn x=1250 y=560  type=patrol role=scout count=1 patrol=north_resource,center_mansion
@aispawn x=1250 y=2000 type=patrol role=scout count=1 patrol=south_resource,center_mansion
